id,pr
144,2.87851396312e-05
13827,1.637671839e-05
145,8.34115126488e-06
200,4.50144097486e-06
676,5.73142130133e-06
722,5.89012963595e-06
912,6.37216970403e-05
1057,0.000132457767437
1087,2.05072190851e-05
2109,7.11991323128e-06
2611,0.000335807584109
3560,0.000396753038779
4381,5.13276927433e-06
4482,1.3516038547e-05
7743,4.62953627315e-06
8427,3.01728594764e-05
13009,1.61284409022e-05
13652,4.48139287385e-06
13990,5.80274705471e-06
14057,5.55703800298e-06
14107,6.95591602154e-06
14143,6.53765195917e-06
16148,0.000147964036231
16219,5.86214284348e-06
17008,7.0646455478e-06
17209,4.41441355792e-05
17457,4.52324782147e-06
17911,5.1624589096e-05
18506,4.48807557418e-06
18866,4.49509343921e-05
23658,6.43181549742e-06
23840,2.52247648978e-05
25083,6.59878021137e-06
25891,5.4066310634e-06
42973,0.000602692708591
72247,0.000155805155355
110274,2.23337013836e-05
125507,1.44164471199e-05
150125,4.50144097486e-06
176186,8.92832903481e-05
183544,5.23396820202e-06
208880,0.00122723648832
248279,3.86926638177e-05
319926,7.95610995232e-06
410744,4.47471017351e-06
452323,4.54821987722e-06
503693,4.46802747317e-06
642882,8.58713258273e-06
650551,4.47471017351e-06
667519,4.46802747317e-06
841337,5.35539411084e-05
1099876,2.69329775036e-05
1549088,4.46802747317e-06
1618432,4.46802747317e-06
13,5.36400411481e-05
161,5.5768529699e-06
268,4.64726280568e-06
457,5.20501690421e-06
878,4.73558824672e-06
885,4.64726280568e-06
28875,5.31926085704e-05
140185,0.000797134556834
423089,4.64726280568e-06
157,7.33314316932e-06
197,5.29218867611e-06
6372,0.000119833436326
8450,2.91688450949e-05
218681,3.86011456827e-05
155,4.63432562071e-06
42559,2.25031708669e-05
68587,0.000303184411825
120444,3.12288659742e-05
122851,4.98805751643e-05
199,1.65693464378e-05
360,4.5759776014e-06
1821,1.93572704239e-05
2772,5.95157154411e-06
2979,8.67249168489e-05
9310,4.95808702993e-06
25409,3.18861469422e-05
39991,8.99343443317e-05
62596,2.98786111681e-05
69885,5.13347220854e-05
88851,4.86795933212e-05
280490,0.00014883930948
467379,8.91046753239e-06
483567,4.5759776014e-06
614157,1.83450251734e-05
615528,1.49827417645e-05
1163893,5.23858097057e-05
853,3.09016703826e-05
6946,0.000586605839373
11527,0.000159490454125
49701,6.27474354617e-05
115866,0.000241709337554
839404,4.75627084663e-06
166,4.46134477284e-06
1132676,8.25361720691e-06
168,6.28620808133e-06
6180,5.51159842218e-06
170,4.46134477284e-06
520932,2.81123856641e-05
173,4.51521230541e-06
49,4.94615256601e-06
189,7.62918418602e-05
207,2.20751853706e-05
274,4.6103811767e-06
483,4.47481165598e-06
570,4.47481165598e-06
660,4.90494720235e-06
916,4.56907983799e-06
2059,4.47481165598e-06
2576,8.13211873976e-06
2874,5.38487327927e-06
5475,9.34710859479e-06
10739,4.89815169863e-06
11666,4.81302267413e-06
17176,5.38228644819e-06
19163,6.91146458018e-06
19239,6.11738379425e-06
26192,8.51189982715e-06
32617,1.74274899876e-05
84052,4.57811858354e-06
140816,0.00129356858023
181,4.46134477284e-06
145403,0.000702009850976
156771,0.00026448766591
184,4.84706211269e-06
22689,5.01101038543e-05
199397,4.29682693025e-05
218196,0.000282588675024
19687,0.000105188025767
107366,0.00115900213557
612,5.61412176954e-06
2384,1.13381728442e-05
2662,5.05053827711e-06
3207,0.000755027443145
9493,0.00064481417671
14533,7.77027438657e-06
19990,0.000116748288392
22701,1.61877952869e-05
74683,9.10703219417e-06
95750,3.1363729824e-05
133374,1.63883540376e-05
149482,0.00011876190951
351981,5.92416764935e-06
686041,8.01841983786e-05
916854,5.11148827351e-06
1019572,4.78641652317e-06
1109480,7.38699052587e-06
2325489,4.623880648e-06
191,4.46134477284e-06
39791,5.09339017851e-06
194,4.46134477284e-06
4023,1.05712318669e-05
2050479,5.40941288135e-06
4702,5.82887950498e-05
10658,0.000642961887988
17498,1.46956613088e-05
61974,0.00144192863305
65358,5.67495329992e-05
86643,0.000315480728805
89806,0.000125164411139
102302,0.000302748783022
130961,2.39535292982e-05
148765,8.86179144005e-05
148870,0.00138569809814
151019,0.000106854964588
190597,0.00751125710192
200945,1.01106198331e-05
210211,5.93266127024e-06
219162,0.000863535140768
224346,3.36782733563e-05
227344,4.53586647553e-06
238877,5.04328619439e-05
243870,0.00070113313887
246383,4.61038817823e-06
333700,9.71366201184e-05
395760,0.000653469455443
572606,9.21955078633e-05
267,7.11421185737e-05
3926,5.50936253483e-06
83284,4.68211210432e-06
393146,7.6938445419e-06
438249,4.68211210432e-06
650654,1.02681516906e-05
1141493,5.95513778057e-05
208,4.46134477284e-06
473,6.74818558015e-06
811,4.7671273114e-06
1265,5.26629330005e-06
3666,4.56383862241e-06
18103,4.56383862241e-06
33795,8.81405847804e-05
83591,1.14995713326e-05
103377,8.07542004358e-06
220155,4.2336125377e-05
320125,4.66633247197e-06
395821,4.61508554719e-06
209,4.46134477284e-06
32043,7.05199650917e-06
81019,1.18774076563e-05
106778,5.00769457384e-06
968504,5.0030979777e-06
214,5.36321822926e-05
219,7.40754674606e-06
117092,0.00025220886216
243,5.47735054826e-06
101,4.76557340429e-06
118,5.37290433917e-06
203,4.56256040263e-06
2954,4.78523478819e-06
7536,3.16544763367e-05
15770,3.93263278513e-05
34596,9.4970346586e-06
289016,4.4815878988e-06
465159,2.79304578376e-05
741628,9.69880702072e-06
2025531,5.63763191027e-06
